,Intellect,Integrity,Courage,Reflexes,Patience,House,Ofstev Rating,Year
1,64,12,11,45,21,Serpentyne,26,1511
2,58,54,15,24,34,Humblescrumble,40,1511
3,48,44,32,23,58,Serpentyne,34,1511
4,28,28,13,25,67,Serpentyne,24,1511
5,33,38,28,28,33,Dragonslayer,36,1511
6,54,37,41,24,29,Thought-Talon,40,1511
7,18,14,10,26,15,Serpentyne,9,1511
8,30,35,21,11,30,Thought-Talon,29,1511
9,29,22,41,33,29,Dragonslayer,26,1511
10,16,13,28,39,35,Serpentyne,15,1511
11,47,48,29,2,20,Humblescrumble,33,1511
12,21,58,18,47,12,Humblescrumble,20,1511
13,6,50,14,37,22,Humblescrumble,17,1511
14,33,6,33,26,55,Serpentyne,27,1511
15,9,36,21,7,12,Humblescrumble,17,1511
16,20,36,29,59,13,Thought-Talon,11,1511
17,33,37,44,30,31,Dragonslayer,33,1511
18,29,33,50,47,51,Dragonslayer,27,1511
19,23,34,25,52,45,Dragonslayer,28,1511
20,47,57,22,34,21,Humblescrumble,38,1511
21,22,35,20,28,36,Dragonslayer,29,1511
22,36,39,6,12,49,Serpentyne,22,1511
23,31,49,25,24,14,Humblescrumble,31,1511
24,25,56,28,48,53,Dragonslayer,34,1511
25,32,35,20,27,27,Dragonslayer,24,1511
26,14,24,44,44,44,Dragonslayer,25,1511
27,12,51,26,58,24,Humblescrumble,16,1511
28,43,60,52,31,25,Humblescrumble,32,1511
29,20,58,27,21,50,Dragonslayer,27,1511
30,24,44,43,39,52,Dragonslayer,22,1511
31,25,21,67,13,20,Thought-Talon,16,1511
32,28,34,56,39,54,Dragonslayer,32,1511
33,44,13,25,35,18,Serpentyne,25,1511
34,15,14,40,33,54,Dragonslayer,22,1511
35,33,5,17,27,30,Thought-Talon,23,1511
36,41,18,11,11,27,Thought-Talon,23,1511
37,7,61,32,23,39,Thought-Talon,3,1511
38,38,14,59,28,21,Dragonslayer,22,1511
39,15,29,33,67,24,Dragonslayer,25,1511
40,25,36,32,12,24,Thought-Talon,28,1511
41,59,38,35,49,54,Dragonslayer,42,1511
42,54,39,8,7,19,Humblescrumble,28,1511
43,28,49,48,38,1,Dragonslayer,30,1511
44,42,47,35,26,33,Thought-Talon,41,1511
45,16,24,27,21,25,Dragonslayer,19,1511
46,10,28,45,49,54,Dragonslayer,15,1511
47,40,54,54,46,15,Humblescrumble,34,1511
48,41,38,8,42,33,Thought-Talon,32,1511
49,21,27,39,25,17,Dragonslayer,23,1511
50,36,40,39,40,25,Dragonslayer,28,1511
51,59,21,48,9,50,Thought-Talon,39,1511
52,15,50,25,9,22,Humblescrumble,23,1511
53,49,13,29,27,26,Thought-Talon,25,1511
54,25,42,24,13,29,Thought-Talon,26,1511
55,53,18,33,37,12,Serpentyne,27,1511
56,16,15,26,26,37,Serpentyne,12,1511
57,16,20,35,52,43,Dragonslayer,20,1511
58,44,23,29,21,28,Dragonslayer,17,1511
59,13,10,32,14,43,Humblescrumble,15,1511
60,16,49,70,63,23,Dragonslayer,42,1511
61,35,47,21,45,15,Humblescrumble,31,1512
62,22,19,43,42,67,Dragonslayer,23,1512
63,23,13,26,40,20,Serpentyne,22,1512
64,17,34,62,15,19,Dragonslayer,20,1512
65,38,56,49,25,20,Humblescrumble,39,1512
